,date,amount,total
279,2020-12-06 00:00:00+00:00,8,2937
280,2020-12-07 00:00:00+00:00,7,2944
281,2020-12-08 00:00:00+00:00,12,2956
282,2020-12-09 00:00:00+00:00,13,2969
283,2020-12-10 00:00:00+00:00,13,2982
284,2020-12-11 00:00:00+00:00,11,2993
285,2020-12-12 00:00:00+00:00,16,3009
286,2020-12-13 00:00:00+00:00,9,3018
287,2020-12-14 00:00:00+00:00,11,3029
288,2020-12-15 00:00:00+00:00,15,3044
289,2020-12-16 00:00:00+00:00,15,3059
290,2020-12-17 00:00:00+00:00,17,3076
291,2020-12-18 00:00:00+00:00,16,3092
292,2020-12-19 00:00:00+00:00,19,3111
293,2020-12-20 00:00:00+00:00,19,3130
294,2020-12-21 00:00:00+00:00,16,3146
295,2020-12-22 00:00:00+00:00,13,3159
296,2020-12-23 00:00:00+00:00,25,3184
297,2020-12-24 00:00:00+00:00,15,3199
298,2020-12-25 00:00:00+00:00,21,3220
299,2020-12-26 00:00:00+00:00,23,3243
300,2020-12-27 00:00:00+00:00,21,3264
301,2020-12-28 00:00:00+00:00,32,3296
302,2020-12-29 00:00:00+00:00,25,3321
303,2020-12-30 00:00:00+00:00,16,3337
304,2020-12-31 00:00:00+00:00,36,3373
305,2021-01-01 00:00:00+00:00,34,3407
306,2021-01-02 00:00:00+00:00,26,3433
307,2021-01-03 00:00:00+00:00,26,3459
308,2021-01-04 00:00:00+00:00,38,3497
309,2021-01-05 00:00:00+00:00,23,3520
310,2021-01-06 00:00:00+00:00,44,3564
311,2021-01-07 00:00:00+00:00,48,3612
312,2021-01-08 00:00:00+00:00,46,3658
313,2021-01-09 00:00:00+00:00,20,3678
314,2021-01-10 00:00:00+00:00,43,3721
315,2021-01-11 00:00:00+00:00,28,3749
316,2021-01-12 00:00:00+00:00,55,3804
317,2021-01-13 00:00:00+00:00,57,3861
318,2021-01-14 00:00:00+00:00,59,3920
319,2021-01-15 00:00:00+00:00,52,3972
320,2021-01-16 00:00:00+00:00,47,4019
321,2021-01-17 00:00:00+00:00,56,4075
322,2021-01-18 00:00:00+00:00,46,4121
323,2021-01-19 00:00:00+00:00,43,4164
324,2021-01-20 00:00:00+00:00,55,4219
325,2021-01-21 00:00:00+00:00,48,4267
326,2021-01-22 00:00:00+00:00,66,4333
327,2021-01-23 00:00:00+00:00,52,4385
328,2021-01-24 00:00:00+00:00,76,4461
329,2021-01-25 00:00:00+00:00,60,4521
330,2021-01-26 00:00:00+00:00,53,4574
331,2021-01-27 00:00:00+00:00,61,4635
332,2021-01-28 00:00:00+00:00,49,4684
333,2021-01-29 00:00:00+00:00,45,4729
334,2021-01-30 00:00:00+00:00,38,4767
335,2021-01-31 00:00:00+00:00,51,4818
336,2021-02-01 00:00:00+00:00,47,4865
337,2021-02-02 00:00:00+00:00,61,4926
338,2021-02-03 00:00:00+00:00,57,4983
339,2021-02-04 00:00:00+00:00,48,5031
340,2021-02-05 00:00:00+00:00,33,5064
341,2021-02-06 00:00:00+00:00,52,5116
342,2021-02-07 00:00:00+00:00,44,5160
343,2021-02-08 00:00:00+00:00,30,5190
344,2021-02-09 00:00:00+00:00,42,5232
345,2021-02-10 00:00:00+00:00,32,5264
346,2021-02-11 00:00:00+00:00,30,5294
347,2021-02-12 00:00:00+00:00,41,5335
348,2021-02-13 00:00:00+00:00,29,5364
349,2021-02-14 00:00:00+00:00,37,5401
350,2021-02-15 00:00:00+00:00,16,5417
351,2021-02-16 00:00:00+00:00,42,5459
352,2021-02-17 00:00:00+00:00,27,5486
353,2021-02-18 00:00:00+00:00,35,5521
354,2021-02-19 00:00:00+00:00,22,5543
355,2021-02-20 00:00:00+00:00,25,5568
356,2021-02-21 00:00:00+00:00,24,5592
357,2021-02-22 00:00:00+00:00,16,5608
358,2021-02-23 00:00:00+00:00,36,5644
359,2021-02-24 00:00:00+00:00,27,5671
360,2021-02-25 00:00:00+00:00,23,5694
361,2021-02-26 00:00:00+00:00,22,5716
362,2021-02-27 00:00:00+00:00,29,5745
363,2021-02-28 00:00:00+00:00,21,5766
364,2021-03-01 00:00:00+00:00,18,5784
365,2021-03-02 00:00:00+00:00,21,5805
366,2021-03-03 00:00:00+00:00,17,5822
367,2021-03-04 00:00:00+00:00,17,5839
368,2021-03-05 00:00:00+00:00,18,5857
369,2021-03-06 00:00:00+00:00,20,5877
370,2021-03-07 00:00:00+00:00,15,5892
371,2021-03-08 00:00:00+00:00,22,5914
372,2021-03-09 00:00:00+00:00,15,5929
373,2021-03-10 00:00:00+00:00,17,5946
374,2021-03-11 00:00:00+00:00,18,5964
375,2021-03-12 00:00:00+00:00,12,5976
376,2021-03-13 00:00:00+00:00,16,5992
377,2021-03-14 00:00:00+00:00,27,6019
378,2021-03-15 00:00:00+00:00,16,6035
379,2021-03-16 00:00:00+00:00,17,6052
380,2021-03-17 00:00:00+00:00,13,6065
381,2021-03-18 00:00:00+00:00,8,6073
